,screen_name,location,description,listed_count,friends_count,followers_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot
1675,0,0,1,0.0,0.0006173333485761321,9.040817482771215e-06,0.004980513202180926,1,0.0007433779790345071,1,0,1,b'KingKiller1776',1
1676,0,0,0,7.829014327096219e-05,0.00206349387811096,1.1652609200016233e-05,2.2150381152683687e-06,1,0.0010025053947647327,1,0,1,b'Create',1
1677,0,0,0,0.00015658028654192438,0.00206349387811096,1.084898097932546e-05,0.002541756237270453,1,0.00017225519781300432,1,0,1,b'Tony Nassivera',1
1678,0,0,0,0.00031316057308384876,0.005853234712425549,4.3596830972474527e-05,0.045173487322783104,1,0.007941361749318549,0,0,1,b'Sho',1
1679,0,0,0,0.0,0.002852308712402684,5.1432206124209584e-05,0.0019137929315918704,1,4.120225192645348e-05,1,0,0,b'Maharen',1
1680,0,0,0,0.0,0.0012918271923907949,5.8263046000081165e-06,0.00021485869718103175,1,0.00015488075422956008,1,0,0,b'SPY | AMMAR \xf0\x9f\x95\xb5\xef\xb8\x8f',1
1681,1,0,1,0.04924450011743522,5.716049523853075e-06,0.035962161968856994,0.000691091891963731,1,0.06562625189071176,1,0,0,b'Colorize_Bot \xf0\x9f\xa4\x96\xf0\x9f\x8c\x88',1
1682,0,0,0,0.00031316057308384876,0.0017033827581082162,2.732335950348634e-05,0.013960277721478892,1,0.0015175335438454012,0,0,0,b'ShaynaP123',1
1683,0,0,0,0.0,0.00021720988190641685,8.036282206907747e-07,5.537595288170921e-06,1,2.2338570321571165e-06,1,0,1,b'Tarya Andersson',1
1684,0,0,0,0.09465278321459328,0.04248168006127605,0.03335137478688784,0.0704182767224967,1,0.006283343418784156,1,0,0,b'RealMissNFT',1
1685,0,0,0,0.0003914507163548109,0.007505173024819087,0.00018523630486922356,0.06160131750467096,1,0.003001062819534633,1,0,0,b'\xea\xa7\x85\xf0\x92\x88\x99\xf0\x92\x90\xab\xf0\x92\x88\x99\xe2\xb8\xbb\xf0\x92\x90\xab\xef\xb7\xbd\xe1\x80\xaa\xe1\x80\xaa\xf0\x92\x88\x99\xf0\x92\x90\xab\xea\xa7\x85\xe1\x80\xaa\xf0\x92\x88\x99\xef\xb7\xbd\xef\xb7\xbd\xef\xb7\xbd\xf0\x92\x90\xab\xea\xa7\x85\xe1\x80\xaa\xf0\x92\x90\xab\xf0\x92\x88\x99\xcd\x9d\xf0\x92\x88\x99\xef\xb7\xbd\xea\xa7\x85',1
1686,0,0,0,0.0003914507163548109,0.007505173024819087,0.00018523630486922356,0.06160131750467096,1,0.003001062819534633,1,0,0,b'\xea\xa7\x85\xf0\x92\x88\x99\xf0\x92\x90\xab\xf0\x92\x88\x99\xe2\xb8\xbb\xf0\x92\x90\xab\xef\xb7\xbd\xe1\x80\xaa\xe1\x80\xaa\xf0\x92\x88\x99\xf0\x92\x90\xab\xea\xa7\x85\xe1\x80\xaa\xf0\x92\x88\x99\xef\xb7\xbd\xef\xb7\xbd\xef\xb7\xbd\xf0\x92\x90\xab\xea\xa7\x85\xe1\x80\xaa\xf0\x92\x90\xab\xf0\x92\x88\x99\xcd\x9d\xf0\x92\x88\x99\xef\xb7\xbd\xea\xa7\x85',1
1687,0,0,0,0.00015658028654192438,0.013146913904862072,0.00042130209469713867,0.019741527202329336,1,0.0024815669563896504,1,0,0,b'Just A Goose 12',1
1688,1,0,0,0.0,0.000685925942862369,2.029161257244206e-05,0.0,1,0.04230503268132838,0,0,1,b'\xec\xa3\xbc\xec\x9e\x91',1
1689,0,0,0,0.00015658028654192438,0.006470568061001681,2.8729708889695197e-05,0.0011695401248616986,1,5.882490184680407e-05,0,0,0,b'greg lasrado',1
1690,0,0,0,7.829014327096219e-05,0.004264172944794394,6.187937299318965e-05,0.0544489594304694,1,0.010825271177833388,1,0,0,b'George Fuller',1
1691,0,0,0,0.00031316057308384876,0.0010231728647697004,5.625397544835423e-06,0.0003798790367685252,1,0.00026682181217432225,1,0,0,b'J.S',1
1692,0,0,0,0.0,0.0003601111200027437,3.4154199379357924e-06,0.002590487075806357,1,0.00013700989797230315,1,0,0,b'Lizzie',1
1693,0,0,0,0.0,0.0002629382780972414,1.3259865641397782e-05,4.430076230536737e-06,1,1.0424666150066544e-05,1,0,0,b'lean',1
1694,0,0,0,0.0,0.0017662593028706,0.0002571610306210479,0.0005814475052579467,1,0.00030703123875315037,1,0,0,"b','",1
1695,0,0,0,7.829014327096219e-05,0.006019000148617288,4.962404262765534e-05,0.0008151340264187596,1,0.00047258486546968335,1,0,1,b'@tul Srivastava',1
1696,0,0,0,0.0,0.01126633361151441,4.7213157965583014e-05,0.0058620983720577375,1,0.004279325454602316,0,0,1,b'Ayan Mughal',1
1697,0,0,0,0.0,0.001600493866678861,7.835375151735054e-06,0.0046028492035276695,1,0.00091166187545701,1,0,1,b'hot NFT thief',1
